"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1869, 9.159768222341721e-01, 7.351011123243237e-03, 4.733510735278120e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527843799262841e+05, 1.000000000000000e-10, 1.114829564822210e+12, 6.111375197051359e+04, 4.497652794857736e+02, 0.000000000000000e+00, -1.126948162318888e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482562357359352e-05, 2.109611689663556e-03, -1.844572465793811e-04, 3.119259800736452e+01, 1.116247106883282e-01, 4.245986387088049e-23
1870, 9.129930374968789e-01, 7.611902990928574e-03, 4.732047526549230e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527219000339528e+05, 1.000000000000000e-10, 1.115097466396918e+12, 6.108876001358110e+04, 4.497203679619309e+02, 0.000000000000000e+00, -1.128175947535114e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482389547281647e-05, 2.108628563996948e-03, -1.843790022046180e-04, 3.430472569608161e+01, 1.115892333997343e-01, 4.243655366914684e-23
1871, 9.100092546756055e-01, 7.872816703810532e-03, 4.731734868541599e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527099590580869e+05, 1.000000000000000e-10, 1.115162035052319e+12, 6.108398362323471e+04, 4.497149191252689e+02, 0.000000000000000e+00, -1.128410598285756e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482368580684570e-05, 2.108967017214217e-03, -1.844319825531793e-04, 3.574573365227225e+01, 1.115954979673091e-01, 4.243129769390977e-23
1872, 9.070254756889218e-01, 8.133774241766806e-03, 4.732857952547219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527599031077640e+05, 1.000000000000000e-10, 1.114966334463530e+12, 6.110396124310555e+04, 4.497552490995769e+02, 0.000000000000000e+00, -1.127429153479371e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482523763340480e-05, 2.109907632421281e-03, -1.845532489614752e-04, 3.356727406902397e+01, 1.116267385961213e-01, 4.244880592235775e-23
1873, 9.040417024476960e-01, 8.394797446040506e-03, 4.732402010789780e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527424928336389e+05, 1.000000000000000e-10, 1.115060101068839e+12, 6.109699713345554e+04, 4.497473164096565e+02, 0.000000000000000e+00, -1.127771280784389e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482493240325878e-05, 2.109753529503533e-03, -1.845902418330162e-04, 3.433143301740846e+01, 1.116187735859211e-01, 4.244114815864579e-23
1874, 9.010579358557554e-01, 8.655896662963356e-03, 4.732032169942159e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527288273831141e+05, 1.000000000000000e-10, 1.115138578798626e+12, 6.109153095324559e+04, 4.497422264548676e+02, 0.000000000000000e+00, -1.128039818989266e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482473655297617e-05, 2.109809774163930e-03, -1.846428173537928e-04, 3.514155625210531e+01, 1.116168897641571e-01, 4.243484668131539e-23
1875, 8.980741743091787e-01, 8.917053633127555e-03, 4.732044315383032e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527315765266689e+05, 1.000000000000000e-10, 1.115147490947651e+12, 6.109263061066754e+04, 4.497491675416687e+02, 0.000000000000000e+00, -1.127985795883783e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482500363046221e-05, 2.109988105023998e-03, -1.846913860015908e-04, 3.484657431097348e+01, 1.116206249500937e-01, 4.243461283345435e-23
1876, 8.950904157977924e-01, 9.178245366196915e-03, 4.731202508517892e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.526972673261983e+05, 1.000000000000000e-10, 1.115310063647750e+12, 6.107890693047929e+04, 4.497281415007231e+02, 0.000000000000000e+00, -1.128660002057107e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482419458874923e-05, 2.109580649720013e-03, -1.846722735112699e-04, 3.643031477764715e+01, 1.116035943371775e-01, 4.242088760989688e-23
1877, 8.921066583192381e-01, 9.439448804520247e-03, 4.730553419779256e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.526715668464669e+05, 1.000000000000000e-10, 1.115439336420045e+12, 6.106862673858675e+04, 4.497141454650992e+02, 0.000000000000000e+00, -1.129165039244060e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482365603704065e-05, 2.109729151337131e-03, -1.846855063471742e-04, 3.836454544207496e+01, 1.116022879228010e-01, 4.241015902159493e-23
1878, 8.891228998756715e-01, 9.700641190804637e-03, 4.731940700147249e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527321227014861e+05, 1.000000000000000e-10, 1.115191839794714e+12, 6.109284908059441e+04, 4.497606240505317e+02, 0.000000000000000e+00, -1.127975063064936e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482544444650596e-05, 2.110808828791780e-03, -1.847639164739950e-04, 3.571492976026850e+01, 1.116391283474689e-01, 4.243199825523952e-23
1879, 8.861391384613492e-01, 9.961799443545661e-03, 4.731448144837080e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527108918764529e+05, 1.000000000000000e-10, 1.115281353652882e+12, 6.108435675058111e+04, 4.497449188735998e+02, 0.000000000000000e+00, -1.128392267578764e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482484015148270e-05, 2.110653363376052e-03, -1.847185446005280e-04, 3.735461635272758e+01, 1.116318511166014e-01, 4.242418524916264e-23
1880, 8.831553722243684e-01, 1.022290270552771e-02, 4.732629967099739e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527617783433199e+05, 1.000000000000000e-10, 1.115067108997553e+12, 6.110471133732793e+04, 4.497824365321670e+02, 0.000000000000000e+00, -1.127392303439996e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482628371643754e-05, 2.111587046061116e-03, -1.847609040615361e-04, 3.523130686895173e+01, 1.116638997906279e-01, 4.244292621974933e-23
1881, 8.801716011423004e-01, 1.048395058675575e-02, 4.732697945833337e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527644657982725e+05, 1.000000000000000e-10, 1.115053607145262e+12, 6.110578631930894e+04, 4.497838886869133e+02, 0.000000000000000e+00, -1.127339492570180e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482633958963582e-05, 2.111577516525574e-03, -1.847247562160891e-04, 3.509832688521215e+01, 1.116641174019878e-01, 4.244404990648602e-23
