DOUBLE-WEDGE_5deg_C1m
99
1.000000 0.000000
0.999013 0.000000
0.996057 0.000345
0.991144 0.000775
0.984292 0.001374
0.975528 0.002141
0.964888 0.003072
0.952414 0.004163
0.938153 0.005411
0.922164 0.006810
0.904508 0.008354
0.885257 0.010039
0.864484 0.011856
0.842274 0.013799
0.818712 0.015861
0.793893 0.018032
0.767913 0.020305
0.740877 0.022670
0.712890 0.025119
0.684062 0.027641
0.654508 0.030227
0.624345 0.032866
0.593691 0.035547
0.562667 0.038262
0.531395 0.040998
0.500000 0.043744
0.468605 0.040998
0.437333 0.038262
0.406309 0.035547
0.375655 0.032866
0.345492 0.030227
0.315938 0.027641
0.287110 0.025119
0.259123 0.022670
0.232087 0.020305
0.206107 0.018032
0.181288 0.015861
0.157726 0.013799
0.135516 0.011856
0.114743 0.010039
0.095492 0.008354
0.077836 0.006810
0.061847 0.005411
0.047586 0.004163
0.035112 0.003072
0.024472 0.002141
0.015708 0.001374
0.008856 0.000775
0.003943 0.000345
0.000987 0.000086
0.000000 0.000000
0.000987 -0.000086
0.003943 -0.000345
0.008856 -0.000775
0.015708 -0.001374
0.024472 -0.002141
0.035112 -0.003072
0.047586 -0.004163
0.061847 -0.005411
0.077836 -0.006810
0.095492 -0.008354
0.114743 -0.010039
0.135516 -0.011856
0.157726 -0.013799
0.181288 -0.015861
0.206107 -0.018032
0.232087 -0.020305
0.259123 -0.022670
0.287110 -0.025119
0.315938 -0.027641
0.345492 -0.030227
0.375655 -0.032866
0.406309 -0.035547
0.437333 -0.038262
0.468605 -0.040998
0.500000 -0.043744
0.531395 -0.040998
0.562667 -0.038262
0.593691 -0.035547
0.624345 -0.032866
0.654508 -0.030227
0.684062 -0.027641
0.712890 -0.025119
0.740877 -0.022670
0.767913 -0.020305
0.793893 -0.018032
0.818712 -0.015861
0.842274 -0.013799
0.864484 -0.011856
0.885257 -0.010039
0.904508 -0.008354
0.922164 -0.006810
0.938153 -0.005411
0.952414 -0.004163
0.964888 -0.003072
0.975528 -0.002141
0.984292 -0.001374
0.991144 -0.000775
0.996057 -0.000345
